,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev
12667,7203000801,Μαρμακέτο,25,25,55,61,79,86,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Μαρμακέτου,Μαρμακέτον,το,το,,,
12668,7203000802,Φαρσάρο,18,19,40,49,58,78,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Μαρμακέτου,Φαρσάρον,το,το,,,
12669,7203000901,Μέσα Λασίθι,98,96,148,164,249,235,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Μέσα Λασιθίου,Μέσα Λασίθιον,το,το,,,
12670,7203000902,Μέσα Λασιθάκι,18,18,27,34,44,45,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Μέσα Λασιθίου,Μέσα Λασιθάκιον,το,το,,,
12671,7203000903,Νικηφόρηδων,6,6,0,0,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Μέσα Λασιθίου,Νικηφόρηδων,το,το,35.18368,25.51633,
12672,7203000904,Σμαλιανό,1,1,0,0,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Μέσα Λασιθίου,Σμαλιανό,το,το,,,
12673,7203001001,Πλάτη,131,132,167,178,174,190,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Πλάτης,Πλάτη,η,η,35.16939,25.43855,
12674,7203001101,Ψυχρό,133,134,208,212,187,183,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Ψυχρού,Ψυχρόν,το,το,35.1646,25.45167,
12675,7203001102,Μαγουλάς,80,79,94,89,87,107,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Ψυχρού,Μαγουλάς,ο,ο,,,
12676,7204010101,Σητεία,9348,9215,8754,8238,7453,7028,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σητείας,Σητεία,η,η,,,
