asciiName,adminId2,adminId3,adminId1,lat,adminCode2,adminCode3,adminCode1,lng,toponymName,population,adminName3,adminName2,name,adminName1,elevation,greek_name,nomos
Ano Lapsista,261777.0,8133722.0,6697804.0,39.73953,17.0,9083.0,ESYE21,20.76228,Áno Lapsísta,386,Zitsa,ΙΩΑΝΝΙΝΩΝ,Ano Lapsista,Epirus,,Άνω Λαψίστα,ΙΩΑΝΝΙΝΩΝ
Ano Kotsanopoulo,254695.0,8133743.0,6697804.0,39.22719,19.0,9090.0,ESYE21,20.71447,Áno Kotsanópoulo,256,Preveza,ΠΡΕΒΕΖΑΣ,Áno Kotsanópoulo,Epirus,,Άνω Κοτσανόπουλο,ΠΡΕΒΕΖΑΣ
Sykoula,265508.0,8133705.0,6697810.0,39.07834,31.0,9125.0,ESYE23,21.09104,Sykoúla,0,Amfilochia,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Sykoúla,West Greece,,Συκούλα,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Anninata,260310.0,8133850.0,6697805.0,38.11133,27.0,9120.0,ESYE22,20.78233,Annináta,0,Kefalonia,ΚΕΦΑΛΛΗΝΙΑΣ,Annináta,Ionian Islands,,Αννινάτα,ΚΕΦΑΛΛΗΝΙΑΣ
Anemogiannatika,2463676.0,8133911.0,6697805.0,39.2205,25.0,9119.0,ESYE22,20.15653,Anemogiannátika,0,Paxoi,ΚΕΡΚΥΡΑΣ,Anemogiannátika,Ionian Islands,,Ανεμογιαννάτικα,ΚΕΡΚΥΡΑΣ
Theodoraiika,264545.0,8133816.0,6697804.0,39.34853,20.0,9075.0,ESYE21,21.06108,Theodoraíika,0,Central Tzoumerka,ΑΡΤΑΣ,Theodoraíika,Epirus,,Θεοδωραίικα,ΑΡΤΑΣ
Antonis,265508.0,8133701.0,6697810.0,38.86072,31.0,9124.0,ESYE23,21.00383,Antónis,0,Aktio-Vonitsa,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Antónis,West Greece,,Αντόνης,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Antipaxos,2463676.0,8133911.0,6697805.0,39.15247,25.0,9119.0,ESYE22,20.22589,Antípaxos,61,Paxoi,ΚΕΡΚΥΡΑΣ,Antípaxos,Ionian Islands,,Αντίπαξος,ΚΕΡΚΥΡΑΣ
Antipata,260310.0,8133850.0,6697805.0,38.46439,27.0,9120.0,ESYE22,20.55044,Antipáta,0,Kefalonia,ΚΕΦΑΛΛΗΝΙΑΣ,Antipáta,Ionian Islands,,Αντιπάτα,ΚΕΦΑΛΛΗΝΙΑΣ
Antipata,260310.0,8133850.0,6697805.0,38.32414,27.0,9120.0,ESYE22,20.56303,Antipáta,0,Kefalonia,ΚΕΦΑΛΛΗΝΙΑΣ,Antipáta,Ionian Islands,,Αντιπάτα,ΚΕΦΑΛΛΗΝΙΑΣ
Anatoliki,261777.0,7303595.0,6697804.0,39.62678,17.0,9084.0,ESYE21,21.03748,Anatolikí,44,ΙΩΑΝΝΙΝΩΝ,ΙΩΑΝΝΙΝΩΝ,Anatoliki,Epirus,,Ανατολική,ΙΩΑΝΝΙΝΩΝ
Anargyroi,261777.0,8133722.0,6697804.0,39.66486,17.0,9083.0,ESYE21,20.71103,Anárgyroi,108,Zitsa,ΙΩΑΝΝΙΝΩΝ,Anargyroi,Epirus,,Ανάργυροι,ΙΩΑΝΝΙΝΩΝ
Ammotopos,264545.0,6943434.0,6697804.0,39.27097,20.0,9073.0,ESYE21,20.94257,Ammótopos,618,Arta,ΑΡΤΑΣ,Ammotopos,Epirus,,Αμμότοπος,ΑΡΤΑΣ
Ammos,264545.0,6943434.0,6697804.0,39.30886,20.0,9073.0,ESYE21,21.02456,Ámmos,3,Arta,ΑΡΤΑΣ,Ammos,Epirus,,Άμμος,ΑΡΤΑΣ
Ampeleia,261777.0,7303595.0,6697804.0,39.56689,17.0,9084.0,ESYE21,20.83428,Ampeleía,339,ΙΩΑΝΝΙΝΩΝ,ΙΩΑΝΝΙΝΩΝ,Ampeleia,Epirus,,Αμπελεία,ΙΩΑΝΝΙΝΩΝ
Ampelaki,260310.0,8133850.0,6697805.0,38.12442,27.0,9120.0,ESYE22,20.74817,Ampeláki,0,Kefalonia,ΚΕΦΑΛΛΗΝΙΑΣ,Ampeláki,Ionian Islands,,Αμπελάκι,ΚΕΦΑΛΛΗΝΙΑΣ
