,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev,astikotita,orinotita
10565,4615301130501,Σταυρός,56,55,66,79,115,133,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Σταυρού,Σταυρός,ο,ο,,,,False,1.0
10566,4615301130502,Κάτω Σταυρός,31,31,62,65,104,108,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Σταυρού,Κάτω Σταυρός,ο,ο,39.03972,26.27179,,False,1.0
10567,4615401010101,Άγιος Κήρυκος,2218,2198,2021,1879,1967,1797,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Άγιος Κήρυκος,ο,ο,37.78773,20.83085,,True,2.0
10568,4615401010102,Έξω Φάρος,0,0,0,0,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Έξω Φάρος,ο,ο,,,,True,2.0
10569,4615401010103,Θέρμα Λευκάδος,28,27,5,4,5,8,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Θέρμα Λευκάδος,τα,τα,,,,True,2.0
10570,4615401010104,Θέρμα,122,127,124,127,126,125,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Θέρμα,τα,τα,,,,True,2.0
10571,4615401010105,Κάμπα,1,1,0,0,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Κάμπα,η,η,,,,True,2.0
10572,4615401010106,Καταφύγι,62,61,91,89,97,96,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Καταφύγιον,το,το,,,,True,2.0
10573,4615401010107,Λαρδάδες,10,11,14,14,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Λαρδάδες,οι,οι,,,,True,2.0
10574,4615401010108,Μαυράτο,51,51,64,63,62,66,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Μαυράτον,το,το,37.63357,26.28431,,True,2.0
10575,4615401010109,Μαυρικάτο,10,10,2,7,20,18,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Μαυρικάτον,το,το,,,,True,2.0
10576,4615401010110,Μονή Λευκάδος Ευαγγελισμός,15,15,22,20,2,2,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Μονή Λευκάδος Ευαγγελισμός,η,η,,,,True,2.0
10577,4615401010111,Ξύλινο,16,16,0,0,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Ξύλινο,το,το,,,,True,2.0
10578,4615401010112,Ξυλοσύρτης,265,263,245,237,182,180,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Ξυλοσύρτης,ο,ο,37.59196,26.25294,,True,2.0
10579,4615401010113,Οξέα,47,47,29,31,34,34,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Οξέα,η,η,37.6409,26.29328,,True,2.0
10580,4615401010114,Τσουρέδες,29,29,24,23,42,42,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Τσουρέδες,οι,οι,37.63196,26.29193,,True,2.0
10581,4615401010115,Φανάρι,81,81,47,51,18,19,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Αγίου Κηρύκου,Φανάριον,το,το,,,,True,2.0
10582,4615401010201,Περδίκι,157,173,183,172,193,180,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,Περδικίου,Περδίκιον,το,το,,,,False,1.0
